Appid,Game_title,Platform,Release_date,Price,original_price
2394330,Adventures of Ben: Rabbit Run,['win'],"4 May, 2023",¥52.00,
1840790,Metal Mutation,['win'],"4 May, 2023",¥68.00,
2391490,Sorcerer's mid-month exam,"['win', 'group_separator']","4 May, 2023",¥22.00,
2397380,The Cold Hand,"['win', 'mac', 'linux']","4 May, 2023",Free,
1837580,Mia and the Dragon Princess,"['win', 'mac']","4 May, 2023",¥58.00,
2314580,Jigsaw Puzzle Fever,['win'],"4 May, 2023",¥33.00,
2383700,Fursona Festival,"['win', 'mac']","4 May, 2023",Free,
2387770,Pens: The Freeware Collection,['win'],"4 May, 2023",Free,
1589710,The Power Latch Kid,['win'],"4 May, 2023",¥15.00,
2381930,Project: InfoGrid,['win'],"4 May, 2023",¥6.00,
2351770,Era of Celestials,['win'],"4 May, 2023",Free,
2412590,Return to Abyss - Multidimensional Gift,['win'],"4 May, 2023",Free,
2394740,先端恐怖症,['win'],"4 May, 2023",Free,
2366000,Lords and Tactics,['win'],"4 May, 2023",Free,
2318590,School Booster,['win'],"4 May, 2023",Free,
2410300,Room of Depression - Digital Artbook,['win'],"4 May, 2023",¥15.00,
2056340,Room of Depression,"['win', 'mac']","4 May, 2023",¥26.00,
2362800,Halver Demo,"['win', 'mac', 'linux']","4 May, 2023",Free,
2211730,KILLBUG,['win'],"4 May, 2023",¥29.00,
2396420,On the Peril of Parrots Soundtrack,['music'],"4 May, 2023",¥26.00,
2360070,Spaceship Racer: Portal,['win'],"4 May, 2023",Free,
2402610,Beginning of the Rain Demo,"['win', 'mac']","4 May, 2023",Free,
2291950,Samira: Taken From Time,['win'],"4 May, 2023",Free,
2417780,The picture of  Cafe au lait Demo,['win'],"4 May, 2023",Free,
2409940,cmd error - Soundtrack,['music'],"4 May, 2023",¥22.00,
2385740,Shanghai1920-XZ Demo,['win'],"4 May, 2023",Free,
2413760,Monster Museum - Galaxy Display Case,['win'],"4 May, 2023",¥6.00,
2010380,Into the cylinder,['win'],"4 May, 2023",Free,
2389440,Little Postman,['win'],"4 May, 2023",Free,
2416090,Judgment: Outposts Free DLC,['win'],"4 May, 2023",Free,
2330150,Age of Wonders 4: Archmage Attire,['win'],"2 May, 2023",¥249.00,¥300.00
1651490,Tiny Life,"['win', 'mac', 'linux']","3 May, 2023",¥58.00,
1566200,Tape to Tape,['win'],"3 May, 2023",¥76.00,
2387950,Kalevania,"['win', 'linux']","3 May, 2023",¥26.00,
1494420,Silica,['win'],"3 May, 2023",¥79.00,
2002220,Keeper's Toll,['win'],"3 May, 2023",¥29.00,
2337630,AFL 23,['win'],"3 May, 2023",¥198.00,
2242220,Forest Fire,"['win', 'mac', 'linux']","3 May, 2023",¥26.00,
2380060,Dome Keeper: Assessor Gear Pack,"['win', 'mac', 'linux']","3 May, 2023",¥10.50,¥15.00
1622800,Super Dungeon Maker,['win'],"3 May, 2023",¥76.00,
2272420,Thief Simulator 2: Prologue,['win'],"3 May, 2023",Free,
2391800,Square Brain,['win'],"3 May, 2023",¥11.00,
2407510,Lichenvale Original Soundtrack,['music'],"3 May, 2023",¥18.00,
2395580,三国吞天传 幻想姬武神战记,['win'],"3 May, 2023",¥29.00,
2387820,Beach Gas Gas,['win'],"3 May, 2023",¥336.00,
2380250,Swinging Over It with Alin Lucian,['win'],"3 May, 2023",¥15.00,
1142810,Toasterball,['win'],"3 May, 2023",¥42.00,
2396800,ボクらの消しゴム落とし3 世界編,['win'],"3 May, 2023",¥29.40,¥42.00
2266160,Modules,"['win', 'group_separator']","3 May, 2023",Free,
2399770,Night of Horror,['win'],"3 May, 2023",¥6.00,
2288280,Be Frugal,['win'],"3 May, 2023",Free,
2375380,Eraser Advent,['win'],"3 May, 2023",¥15.00,
2392770,Finding Hannah Soundtrack,['music'],"3 May, 2023",¥22.00,
2362120,Finding Hannah,"['win', 'mac', 'linux']","3 May, 2023",¥29.00,
2394450,Frozen Shelter,['win'],"3 May, 2023",¥4.16,¥26.00
2322630,Death Trick: Double Blind Demo,"['win', 'mac']","3 May, 2023",Free,
2401720,Trainz Plus DLC - Pro Train Rheingold 1928,"['win', 'mac']","3 May, 2023",¥92.00,
2401710,Trainz 2022 DLC - Pro Train Rheingold 1928,"['win', 'mac']","3 May, 2023",¥92.00,
2401700,Trainz 2019 DLC - Pro Train Rheingold 1928,"['win', 'mac']","3 May, 2023",¥92.00,
875640,Mechanisms of Mystery: A VR Escape Game,"['win', 'group_separator']","3 May, 2023",¥11.00,
2409381,AeternoBlade II: Director's Rewind - Ocean Spritzer,['win'],"3 May, 2023",¥11.00,
2400870,The Abandoned Presence Demo,['win'],"3 May, 2023",Free,
2409380,AeternoBlade II: Director's Rewind - Flaming Cognac,['win'],"3 May, 2023",¥11.00,
2409382,AeternoBlade II: Director's Rewind - Blue Hawaiian,['win'],"3 May, 2023",¥11.00,
2354400,VR Drums Ultimate Streamer,"['win', 'group_separator']","3 May, 2023",¥92.00,
1137160,百花三国志(Banner of the THREE KINGDOMS),['win'],"3 May, 2023",¥28.00,
1926420,Jumping Frog -A Time Traveller-,['win'],"3 May, 2023",¥22.00,
2394130,Let's Make a Potion,['win'],"3 May, 2023",¥6.00,
2406010,Books of Grandura Demo,['win'],"3 May, 2023",Free,
2340010,Ritual,['win'],"3 May, 2023",¥22.00,
2362292,Showgunners - Scarlett Costume: Goth GF,['win'],"3 May, 2023",¥6.00,
2362293,Showgunners - Scarlett Costume: Fierce Mama,['win'],"3 May, 2023",¥6.00,
2362294,Showgunners - Scarlett Costume: G.I.,['win'],"3 May, 2023",¥6.00,
2362295,Showgunners - Weapon Reskin: Magical Girl,['win'],"3 May, 2023",¥6.00,
2362296,Showgunners - Weapon Reskin: Raging Inferno,['win'],"3 May, 2023",¥6.00,
2225210,Grape Juice City,['win'],"3 May, 2023",Free,
2270410,Farmburgh,['win'],"3 May, 2023",Free,
2359110,Haru: The Armada of the Astral Void Demo,['win'],"3 May, 2023",Free,
2404180,Monster Lover 1 Demo,"['win', 'mac', 'linux']","3 May, 2023",Free,
2384390,Coffee Dates,['win'],"3 May, 2023",¥6.00,
2402360,You Have No Time Demo,"['win', 'mac']","3 May, 2023",Free,
2387100,Derpy Dino,['win'],"3 May, 2023",Free,
2393230,Path of the Midnight Sun (Official Artbook),['win'],"3 May, 2023",¥45.00,
2389030,Soul Cliff,['win'],"3 May, 2023",¥15.00,
2234586,Super Jigsaw Puzzle: Generations - Random Animals 3,['win'],"3 May, 2023",¥36.00,
2398500,Two Portals - A Gemstone Puzzle Game,['win'],"3 May, 2023",¥6.00,
2132520,The Magic World,"['win', 'mac', 'linux']","3 May, 2023",¥76.00,
2413150,Fantasy Grounds - GM's Miscellany: Urban Dressing (System Neutral Edition),"['win', 'mac']","3 May, 2023",¥58.00,
2385600,SLYME BREAKER Demo,['win'],"3 May, 2023",Free,
2229630,House Party - Halloween Holiday Pack,['win'],"3 May, 2023",Free,
2406720,Abglantz Demo,['win'],"3 May, 2023",Free,
2415720,Welcome To... Chichester OVN Omnibus Edition,"['win', 'mac', 'linux']","3 May, 2023",¥22.00,
2235190,Dr. Professor Scientist's Weapons Testing Facility Demo,['win'],"3 May, 2023",Free,
2362291,Showgunners - Scarlett Costume: Neon Justice,['win'],"3 May, 2023",¥165.00,
2393670,Magic Toenail,['win'],"3 May, 2023",¥18.00,
2303660,Showgunners Soundtrack,['music'],"3 May, 2023",¥42.00,
2303680,Showgunners - Art Book,['win'],"3 May, 2023",¥15.00,
1155330,Showgunners,['win'],"3 May, 2023",¥108.00,
1669000,Age of Wonders 4,['win'],"2 May, 2023",¥248.00,
2173580,Clausum,['win'],"2 May, 2023",¥22.00,
2366600,Detectives United: Origins Collector's Edition,['win'],"2 May, 2023",¥56.00,
1956560,LIFELIKE,['win'],"2 May, 2023",¥52.00,
2158390,Before Resignation,['win'],"2 May, 2023",¥6.00,
2367740,Mystery Solitaire. Grimm's Tales 8,['win'],"2 May, 2023",¥22.00,
2406620,Fantasy Grounds - Pathfinder RPG - Pathfinder Player Companion: Knights of the Inner Sea,"['win', 'mac']","2 May, 2023",¥46.00,
2403910,Fantasy Grounds - Shadow of the Demon Lord Uncertain Faith,"['win', 'mac']","2 May, 2023",¥46.00,
2389460,Fantasy Grounds - The Turning of the Leaves Fantasy Adventure,"['win', 'mac']","2 May, 2023",¥22.00,
2403800,Fantasy Grounds - Aquacadent,"['win', 'mac']","2 May, 2023",¥42.00,
2403920,Fantasy Grounds - Arcadia Issue 013,"['win', 'mac']","2 May, 2023",¥48.00,
2388320,Wrestling With Emotions: New Kid On The Block Demo,"['win', 'mac']","2 May, 2023",Free,
2405160,Fantasy Grounds - Adventurers in Space 2,"['win', 'mac']","2 May, 2023",¥26.00,
2006714,Unmatched: Digital Edition -  Sherwood Forest,"['win', 'mac']","2 May, 2023",¥21.00,
2395370,Survival Shooter,['win'],"2 May, 2023",¥3.66,¥6.00
2407060,Rose and Lotus: Petals of Memories Demo,['win'],"2 May, 2023",Free,
2394190,Kid Chaos,['win'],"2 May, 2023",¥22.00,
2389600,Tuya,['win'],"2 May, 2023",¥11.00,
2411220,Knights of Braveland - Fun and Memes Pack,['win'],"2 May, 2023",¥29.00,
2291400,The Best of Us - Better Together®,['win'],"2 May, 2023",¥22.00,
2390220,Expel,['win'],"2 May, 2023",¥22.00,
2370330,Linia Stripes,['win'],"2 May, 2023",¥22.00,
2362250,Bramble: The Mountain King Soundtrack,['music'],"2 May, 2023",¥22.00,
